Wed Nov  1 11:21:16 2023    result/profile_binary.txt

         514503093 function calls (514502921 primitive calls) in 553.623 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  553.623  553.623 {built-in method builtins.exec}
        1    0.000    0.000  553.623  553.623 <string>:1(<module>)
        1    0.000    0.000  553.623  553.623 /home/zihan/denElli/example_timebased.py:51(cocluster_timebase)
        1    0.000    0.000  553.621  553.621 /home/zihan/denElli/big_matrix_cocluster/coclusterSVD.py:71(cocluster)
        1    0.058    0.058  553.621  553.621 /home/zihan/denElli/big_matrix_cocluster/coclusterSVD.py:118(coclusterAtom)
        1    0.001    0.001  552.906  552.906 /home/zihan/denElli/big_matrix_cocluster/coclusterSVD.py:420(compute_scoreMat)
       15  223.906   14.927  552.904   36.860 /home/zihan/denElli/big_matrix_cocluster/coclusterSVD.py:287(score)
 64306008  172.055    0.000  316.310    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/linalg/linalg.py:2383(norm)
 64306008   58.110    0.000   58.110    0.000 {method 'dot' of 'numpy.ndarray' objects}
 64306008   45.953    0.000   45.953    0.000 {method 'ravel' of 'numpy.ndarray' objects}
 64306010   18.820    0.000   24.954    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/linalg/linalg.py:140(isComplexType)
128612209   13.131    0.000   13.131    0.000 {built-in method builtins.issubclass}
 64306008    9.767    0.000    9.767    0.000 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/linalg/linalg.py:2379(_norm_dispatcher)
 64306062    8.244    0.000    8.244    0.000 {built-in method numpy.asarray}
       30    2.869    0.096    2.869    0.096 /home/zihan/denElli/big_matrix_cocluster/coclusterSVD.py:393(corHelper)
        2    0.001    0.001    0.422    0.211 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/cluster/_kmeans.py:1389(fit)
        2    0.261    0.131    0.264    0.132 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/cluster/_kmeans.py:602(_kmeans_single_lloyd)
        1    0.195    0.195    0.197    0.197 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/numpy/linalg/linalg.py:1499(svd)
        2    0.000    0.000    0.090    0.045 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/cluster/_kmeans.py:900(_check_mkl_vcomp)
        2    0.000    0.000    0.090    0.045 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/utils/fixes.py:145(threadpool_info)
        4    0.000    0.000    0.089    0.022 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/sklearn/utils/fixes.py:124(_get_threadpool_controller)
        1    0.000    0.000    0.089    0.089 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/threadpoolctl.py:664(__init__)
        1    0.000    0.000    0.088    0.088 /home/zihan/miniconda3/envs/cocluster/lib/python3.11/site-packages/threadpoolctl.py:815(_load_libraries)
